DATE,ATNHPIUS37964Q
1976-10-01,36.06
1977-01-01,35.87
1977-04-01,37.56
1977-07-01,37.49
1977-10-01,39.43
1978-01-01,40.21
1978-04-01,39.22
1978-07-01,38.18
1978-10-01,39.39
1979-01-01,41.1
1979-04-01,42.54
1979-07-01,42.9
1979-10-01,43.32
1980-01-01,45.3
1980-04-01,44.58
1980-07-01,46.46
1980-10-01,47.76
1981-01-01,48.34
1981-04-01,49.16
1981-07-01,50.09
1981-10-01,47.46
1982-01-01,49.57
1982-04-01,48.88
1982-07-01,48.81
1982-10-01,50.89
1983-01-01,52.43
1983-04-01,53.41
1983-07-01,54.64
1983-10-01,56.32
1984-01-01,55.01
1984-04-01,57.53
1984-07-01,58.62
1984-10-01,59.32
1985-01-01,59.85
1985-04-01,61.95
1985-07-01,63.52
1985-10-01,64.36
1986-01-01,66.07
1986-04-01,68.02
1986-07-01,71.04
1986-10-01,73.63
1987-01-01,75.99
1987-04-01,79.21
1987-07-01,83.39
1987-10-01,86.13
1988-01-01,89.05
1988-04-01,92.75
1988-07-01,94.79
1988-10-01,96.46
1989-01-01,97.01
1989-04-01,97.54
1989-07-01,100.49
1989-10-01,101.04
1990-01-01,101.93
1990-04-01,101.95
1990-07-01,102.09
1990-10-01,102.02
1991-01-01,102.2
1991-04-01,102.41
1991-07-01,102.8
1991-10-01,104.14
1992-01-01,104.55
1992-04-01,103.94
1992-07-01,104.47
1992-10-01,105.44
1993-01-01,104.95
1993-04-01,105.47
1993-07-01,105.5
1993-10-01,106.18
1994-01-01,105.81
1994-04-01,103.42
1994-07-01,102.3
1994-10-01,101.11
1995-01-01,100.00
1995-04-01,101.91
1995-07-01,103.75
1995-10-01,104.25
1996-01-01,105.25
1996-04-01,103.4
1996-07-01,102.37
1996-10-01,103.3
1997-01-01,103.66
1997-04-01,103.34
1997-07-01,104.15
1997-10-01,105.21
1998-01-01,107.15
1998-04-01,107.56
1998-07-01,106.95
1998-10-01,109.06
1999-01-01,109.81
1999-04-01,110.07
1999-07-01,110.85
1999-10-01,111.34
2000-01-01,111.7
2000-04-01,114.66
2000-07-01,115.76
2000-10-01,117.88
2001-01-01,121.35
2001-04-01,124.2
2001-07-01,127.3
2001-10-01,129.84
2002-01-01,132.87
2002-04-01,136.29
2002-07-01,140.71
2002-10-01,144.17
2003-01-01,146.57
2003-04-01,149.52
2003-07-01,153.84
2003-10-01,160.35
2004-01-01,164.54
2004-04-01,171.42
2004-07-01,181.18
2004-10-01,187.1
2005-01-01,192.61
2005-04-01,202.12
2005-07-01,210.2
2005-10-01,216.04
2006-01-01,219.69
2006-04-01,223.59
2006-07-01,226.34
2006-10-01,229.39
2007-01-01,231.52
2007-04-01,232.41
2007-07-01,232.7
2007-10-01,233.13
2008-01-01,234.06
2008-04-01,231.79
2008-07-01,228.44
2008-10-01,227.82
2009-01-01,229.35
2009-04-01,225.38
2009-07-01,220.99
2009-10-01,220.5
2010-01-01,219.53
2010-04-01,218.74
2010-07-01,220.6
2010-10-01,219.68
2011-01-01,215.13
2011-04-01,210.78
2011-07-01,211.93
2011-10-01,212.29
2012-01-01,211.25
2012-04-01,209.47
2012-07-01,209.85
2012-10-01,211.49
2013-01-01,210.8
2013-04-01,212.13
2013-07-01,212.94
2013-10-01,213.47
2014-01-01,214.45
2014-04-01,216.13
2014-07-01,217.48
2014-10-01,218.79
2015-01-01,221.43
2015-04-01,223.57
2015-07-01,224
2015-10-01,224.35
2016-01-01,226.96
2016-04-01,232.11
2016-07-01,236.28
2016-10-01,236.42
2017-01-01,239.8
2017-04-01,246.9
2017-07-01,251.39
2017-10-01,252.39
2018-01-01,257.64
2018-04-01,264.27
2018-07-01,268.73
2018-10-01,273.05
2019-01-01,274.14
2019-04-01,279.19
